Id	Barbera	Garganega	Glera	Moscatobianco	Negroamaro	Passerina	Primitivo	Refosco	Sangiovese	Vermentino
Vitvi05g00764	360.821	620.715	602.91	851.948	587.547	577.359	698.407	689.34	425.172	572.869
Vitvi05g00765	177.945	185.651	163.322	164.758	207.296	197.387	168.588	195.129	203.126	179.505
Vitvi18g01694	46.1485	20.2908	23.5087	12.186	26.0733	7.53676	22.8621	31.8196	33.4128	11.5841
Vitvi06g01012	16.7729	18.5887	8.51634	17.7015	18.4984	20.9531	11.89	18.7085	16.1252	12.5611
Vitvi05g01569	122.6	114.758	121.329	114.542	114.353	117.802	128.154	115.452	87.85	121.051
Vitvi05g01563	3.89225	2.54185	2.98254	4.14359	2.20244	4.62629	4.81342	6.7747	0.625814	4.83038
Vitvi09g00723	468.972	475.774	507.077	562.541	456.04	481.278	626.922	454.313	438.979	461.685
Vitvi05g01561	457.522	351.326	311.202	503.153	479.117	487.095	359.578	259.586	377.539	326.561
Vitvi05g01565	15.8251	5.83845	8.37323	10.2721	7.66685	11.0575	14.6089	7.43127	16.1903	5.80062
Vitvi05g01564	31.9025	29.6656	27.1262	25.0185	19.4699	25.5352	22.5358	27.2006	39.729	16.7339
Vitvi09g00090	44.4156	0.509213	1.2284	46.654	0.529765	7.36787	29.1432	32.8774	0	43.7908
Vitvi09g00093	1978.86	2368.95	2615.23	2251.44	2509.86	2232.29	2181.15	2902.01	2400.13	2347.16
Vitvi09g00094	341.686	288.541	371.817	464.606	387.601	312.998	328.636	326.652	309.3	345.324
Vitvi09g00095	8.17775	10.7568	10.6729	7.80774	10.355	5.95421	3.70236	5.86144	5.12285	2.25637
Vitvi09g00096	265.034	275.694	360.898	333.637	241.694	212.066	250.295	304.13	195.951	223.397
Vitvi02g00018	18.1718	9.89179	13.5194	17.7777	12.569	12.0383	8.80411	10.1569	23.8095	19.2868
Vitvi02g00015	119.709	86.0416	121.444	150.151	145.336	126.498	125.309	106.624	106.49	110.374
Vitvi02g00014	0.792727	1.90291	2.16857	0.263421	0.288832	0.251564	0.508715	0	0.638284	1.92155
Vitvi02g00013	64.3318	63.557	37.4743	30.7415	40.5358	64.0948	72.0217	79.6446	40.4699	47.2776
Vitvi02g00012	215.437	202.826	177.838	187.361	258.179	254.237	208.246	241.541	235.942	215.52
Vitvi19g02229	7.65131	34.3873	13.7301	5.84022	2.9693	7.53321	14.0945	11.6401	14.6611	56.6543
Vitvi03g00449	0.747049	0.254607	0.625131	0	0.806178	0	0	0	0.638284	0
Vitvi03g00443	22.1453	11.2751	16.5774	34.6488	47.4035	58.1765	16.2872	12.149	41.3581	19.3657
Vitvi03g00445	204.123	143.479	155.402	125.91	138.752	148.084	207.889	164.007	145.737	199.461
Vitvi03g00447	524.803	530.994	487.523	566.509	526.178	465.329	564.23	443.177	556.12	447.989
Vitvi08g00301	460.261	448.214	398.88	539.833	391.989	453.667	454.52	361.97	429.811	352.677
Vitvi08g01659	625.936	490.303	608.469	674.029	596.092	665.433	668.561	623.109	646.467	554.719
Vitvi08g01650	3.6876	2.13515	1.22344	0.263421	4.42499	1.84362	15.7476	0.52458	0	1.61013
Vitvi08g01651	143.996	124.197	169.604	145.974	204.081	188.733	146.247	145.5	162.127	186.934
Vitvi08g01652	451.874	393.514	431.703	456.628	411.213	435.395	416.061	374.881	361.787	423.222
Vitvi08g01653	11.2277	11.3357	11.9323	23.0834	14.4279	15.8087	15.8437	20.3256	16.4886	9.65915
Vitvi08g01655	3588.88	3182.83	3457.89	3281.28	3144.45	3864.64	4029.79	4316	3966.3	3187.02
Vitvi08g01656	9.0778	30.9191	32.5973	4.15478	11.1937	18.495	29.9864	30.2204	62.6948	4.4973
Vitvi08g01657	1548.88	1333.77	1428.59	1900.26	1378.35	1376.01	1794.49	1381.09	1452.93	1657.55
Vitvi10g00597	147.674	138.602	127.21	162.544	100.121	115.882	119.363	144.53	145.158	77.9631
Vitvi10g00596	2.01464	0.638949	1.26716	3.0899	1.06337	1.99946	2.77744	0.838251	1.27657	0.318266
Vitvi10g00594	0	9.92809	8.37819	14.9187	10.6592	6.50505	8.31028	9.36638	7.35407	8.03022
Vitvi10g00593	1.51595	0.574081	0.913356	0.299638	0.826284	0.512635	0.319631	0.52458	1.25163	0.32225
Vitvi01g01875	127.399	157.167	155.314	170.522	177.728	132.492	135.425	113.053	201.026	122.259
Vitvi01g01874	55.23	49.7319	66.9967	98.6072	56.783	74.7884	104.991	95.2281	91.8618	64.3498
Vitvi01g01877	1640.14	1690.26	1527.11	1531.58	1612.76	2718.67	2582.77	1841.73	1804.53	1628.7
Vitvi01g01876	51.6976	39.3141	39.3904	43.3658	38.8439	46.505	46.7063	57.5534	37.7547	33.1651
Vitvi01g01873	0.226505	3.61607	1.2453	2	0	0.261071	1.18602	1.29172	2.25753	0.32225
Vitvi01g01879	1.92329	1.85198	1.25026	2.1585	0.822441	1.29585	1.85251	6.73524	1.60678	0
Vitvi01g01878	333.012	716.864	199.618	121.524	222.899	531.707	121.902	85.6291	247.502	302.744
Vitvi14g00137	1108.02	1304.64	1262.91	1066.15	904.108	1063.15	1067.51	1176.8	1286.66	940.872
Vitvi12g01403	168.587	149.793	201.909	218.21	175.221	155.913	214.846	183.27	224.459	226.353
Vitvi13g00198	385.643	451.701	458.63	516.227	493.4	426.073	426.625	517.817	500.983	536.473
Vitvi13g00199	482.549	506.052	554.019	1378.03	502.49	824.798	551.27	764.928	427.1	785.129
Vitvi13g00194	475.078	513.449	350.659	498.44	413.804	374.126	346.885	414.738	503.131	328.508
Vitvi13g00195	14.2853	35.0305	19.882	4.64913	26.0233	12.9488	9.88794	13.6356	7.27788	10.6367
Vitvi13g00196	296.638	382.435	227.698	317.122	227.74	231.311	300.762	230.44	262.312	342.392
Vitvi13g00197	0.272183	0	0	0.530571	0	0.576293	0.839157	0.520678	1.2641	0
Vitvi13g00190	189.717	145.863	187.772	227.204	178.406	192.238	161.857	165.084	185.058	200.528
Vitvi13g00191	23.3672	30.1868	34.1816	20.0548	27.6656	23.1029	13.5914	14.5079	24.8112	34.4061
Vitvi13g00192	950.031	1164.6	826.494	780.419	779.969	864.87	793.803	916.286	953.179	881.906
Vitvi13g00193	829.612	577.69	752.634	640.125	780.078	691.02	745.778	685.345	755.17	746.441
Vitvi18g00804	352.751	379.412	320.79	302.363	310.097	310.376	321.098	303.92	361.844	311.85
Vitvi18g00807	0	0.638949	0.642034	0.801451	0.288832	0	1.15879	0.242561	0.645204	0.644499
Vitvi18g00806	624.42	792.541	609.84	980.479	667.83	653.344	651.634	641.551	597.943	608.444
Vitvi18g00801	0	0	0.293183	0	0.288832	0.324728	0	0	0.328837	0
Vitvi18g00802	0.272183	0.254607	0.310086	0.263421	0	1.7574	0	0.802696	0.625814	0
Vitvi18g00809	971.776	611.589	1060.79	732.907	871.588	1182.71	868.244	1050.58	822.544	730.79
Vitvi18g00808	533.323	452.378	406.226	512.317	398.232	470.07	361.129	354.665	364.55	449.896
Vitvi19g00469	514.175	800.718	782.787	842.101	789.264	811.647	653.999	766.486	640.144	763.19
Vitvi01g00833	10.6177	7.50203	6.59024	10.2158	5.99802	8.92785	6.91469	5.12985	14.3198	3.86363
Vitvi01g00831	152.185	245.968	147.513	360.15	232.429	112.303	130.766	120.019	161.144	212.689
Vitvi01g00836	532.185	1608.03	873.572	818.474	803.591	512.528	635.853	803.298	697.64	1127.55
Vitvi13g01249	247.069	121.416	230.235	200.512	149.594	146.926	104.718	51.6108	235.781	238.966
Vitvi13g01248	1.4941	2.59765	0.293183	1.62793	0.533609	0	0.801115	1.60539	0.625814	0.650225
Vitvi04g00451	298.499	271.016	255.184	363.7	279.894	369.364	315.834	342.37	222.942	362.411
Vitvi04g00450	3282.1	3309.75	3524.79	3114.76	3027.42	2662.82	2613.39	2794.88	2964.68	3005.18
Vitvi13g01245	4.44047	3.68094	3.44768	7.2908	6.84825	2.64585	4.94397	2.8221	2.22012	1.27306
Vitvi04g00452	385.834	708.096	489.242	234.275	642.095	576.693	416.319	404.305	238.373	933.348
Vitvi04g00455	36.6632	287.239	65.1889	31.7352	63.7743	62.8829	95.2307	36.9333	45.6736	50.4887
Vitvi04g00454	969.156	961.215	827.231	878.371	1400.6	831.483	868.026	947.18	1039.16	1119.28
Vitvi13g01241	5.68432	3.89503	2.11989	1.65669	2.20244	3.85258	3.78518	2.26197	1.94116	3.86363
Vitvi13g01240	388.357	241.893	310.185	465.885	356.283	288.248	363.385	257.615	307.991	298.067
Vitvi14g00155	361.588	550.686	445.476	479.873	430.017	517.545	376.154	564.939	551.718	450.648
Vitvi14g00154	4.37293	22.5586	28.8297	3.90893	35.8646	15.7346	14.5828	5.50639	16.866	28.9711
Vitvi09g00744	22.0739	44.3063	37.5955	8.01364	9.83381	19.6226	14.1901	23.3313	31.6877	38.0506
Vitvi09g00745	24.1161	19.033	18.426	0.299638	17.2961	17.5274	6.55589	6.62858	17.5846	9.34026
Vitvi09g00746	0	0	0	0	0.264883	0.512635	0	2.09052	1.59294	0
Vitvi09g01251	8439.83	7690.05	7799.98	8356.49	7253.69	6075.85	7647.93	6688.56	7242.23	8309.89
