gene	Barbera_Soft	Negroamaro_Soft	Primitivo_Soft	Refosco_Soft	Sangiovese_Soft
Vitvi19g00572	575.443	394.486	516.904	539.942	312.325
Vitvi19g00573	661.133	610.884	558.255	632.604	646.844
Vitvi17g00396	8.15272	6.30124	6.01952	7.19248	2.97431
Vitvi05g00548	3608.24	858.966	2749.64	1760.2	8761.05
Vitvi05g00549	663.921	502.707	533.376	1340.08	1078.92
Vitvi05g00542	6709.78	6632.4	12833.7	8435.12	6731.57
Vitvi05g00543	241.197	193.694	219.434	175.776	185.85
Vitvi05g00540	351.295	492.035	292.393	344.439	264.835
Vitvi05g00541	8.61142	5.83404	11.1848	25.2651	16.4408
Vitvi05g00546	0.709788	0.695692	0.378508	1.25247	0.427636
Vitvi05g00545	648.101	462.898	615.542	528.17	542.524
Vitvi17g00392	280.85	342.846	457.37	300.384	347.943
Vitvi18g00602	0.774044	1.00244	1.1431	10.3698	3.16139
Vitvi17g00229	116.64	116.4	117.931	126.089	134.731
Vitvi17g00391	1.16107	1.11368	1.56264	0.413113	4.63138
Vitvi18g00601	355.652	449.359	439.324	306.549	337.222
Vitvi08g01372	294.505	262.372	238.426	237.059	276.46
Vitvi18g00600	123.814	52.6007	74.4018	91.0053	45.895
Vitvi14g02438	21.8515	19.412	17.3426	6.33342	23.1314
Vitvi18g00607	181.58	97.7791	149.136	79.9738	61.8664
Vitvi14g02439	5166.69	5906.46	6494.5	4998.16	7160.67
Vitvi18g00605	0.443851	0.920256	0.723563	2.71676	1.00288
Vitvi18g00604	110.755	19.5112	4.64688	10.3591	20.5988
Vitvi14g02712	20.8944	0	0	2.01817	24.9616
Vitvi14g02435	89.795	229.676	141.067	177.697	95.3537
Vitvi14g02711	16.8299	0	0	1.53795	12.9791
Vitvi14g02710	4.62754	1.69211	2.3531	0	8.10713
Vitvi14g00521	2555.52	2337.97	2086.09	2190.53	1784.33
Vitvi14g02431	26.215	110.066	16.4564	26.0217	21.8422
Vitvi14g00528	691.057	693.599	699.009	696.718	609.519
Vitvi14g02719	1.8066	0	0	0.352581	5.33391
Vitvi12g02442	206.876	172.054	232.321	192.278	169.656
Vitvi02g00237	803.003	742.772	544.421	588.759	469.791
Vitvi02g00236	693.508	910.573	954.751	1018.88	965.514
Vitvi02g00235	797.058	889.172	1349.17	1371.11	883.263
Vitvi02g00234	65.7113	55.5557	58.5914	77.0927	46.4056
Vitvi02g00232	465.115	142.751	181.169	338.41	110.731
Vitvi08g00699	0	0	0	0	1.6176
Vitvi08g00692	545.031	430.251	375.42	431.308	510.593
Vitvi08g00691	380.164	399.441	396.078	381.571	386.567
Vitvi08g00690	10232.5	4970.57	8450.46	6957.24	6488.64
Vitvi16g00355	1.69294	2.45794	2.47619	2.44441	1.50433
Vitvi16g00353	4.24052	3.73207	1.86666	3.48902	3.94286
Vitvi16g00352	8.12895	7.18041	7.93479	3.70741	5.58079
Vitvi16g00359	96.2626	92.7651	89.0736	141.512	93.9056
Vitvi12g02448	3.50697	6.92287	6.20804	1.59192	0
Vitvi08g01870	166.322	195.069	178.349	168.665	178.282
Vitvi08g01871	1627.05	1288.88	1388.27	1347.12	1320.66
Vitvi08g01872	878.967	950.689	880.773	996.606	951.199
Vitvi08g01873	223.715	221.346	131.022	292.428	156.29
Vitvi08g01874	1925.61	1863.71	2232.06	2080.24	2519.65
Vitvi08g01875	1103.17	941.595	885.369	879.767	805.552
Vitvi08g01876	552.375	481.09	566.472	383.716	556.292
Vitvi08g01878	136.019	97.4242	114.037	69.933	77.0294
Vitvi08g01879	1233.23	1324.75	1197.45	1493.64	1918.25
Vitvi15g00151	30.7233	20.7825	30.1128	31.0618	38.166
Vitvi05g02053	13.9027	26.9984	17.3426	25.7059	34.2918
Vitvi05g02056	14.5063	18.0206	6.93308	29.3095	29.7992
Vitvi03g00844	312.892	259.048	314.203	304.145	277.443
Vitvi03g00841	2.78975	3.39025	0.378508	0.832793	1.04235
Vitvi03g00843	0	0	2.44273	0	4.31702
Vitvi03g00842	1076.39	1768.66	1212.15	1155.75	1035.25
Vitvi03g00848	5.48405	7.45601	33.2077	5.14148	6.15485
Vitvi02g01541	0.443851	0	0.378508	0	0.614715
Vitvi15g00044	469.053	406.697	456.69	506.902	477.024
Vitvi18g01754	0	27.1379	1.90769	0	6.99098
Vitvi18g01753	3.14558	2.69455	1.86666	4.20732	0.929078
Vitvi18g01750	8.74142	13.1398	9.34089	16.9281	11.7408
Vitvi18g01758	4.62754	2.79976	3.32137	5.31903	6.56334
Vitvi18g01759	3.74171	4.41571	0.764592	7.85419	4.00266
Vitvi08g01254	1705.89	3102.83	2020.27	2299.59	3115.85
Vitvi08g01256	1474.72	840.282	979.214	823.492	830.689
Vitvi08g01257	119.823	60.3726	87.8575	42.9918	133.592
Vitvi08g01250	7.83182	1.03751	3.35482	1.24591	0.929078
Vitvi08g01252	0.531875	0	2.78779	0	0
Vitvi08g01253	0.652959	66.7832	1.10207	28.7884	46.1599
Vitvi08g01258	5.72435	0	0.378508	0	0
Vitvi08g01259	169.258	253.35	151.902	187.754	231.886
Vitvi15g00048	12.0319	25.4958	26.9997	21.0078	45.1647
Vitvi06g01411	2872.11	1191.85	2462.81	401.244	324.366
